cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
17,False,home,84435,330.9,1883560.7875,1885776.470875,1788915193712,687,active,(tabs)/home,19,66,200,0,0,0,0,19,19,19,20,23,48,20,23,48
18,False,settled,84435,331,1918817.019458,1921029.053583,1788915228912,705,active,play,3,9,200,0,0,0,0,19,19,19,1,14,25,20,23,48
18,False,browsed,84435,331.3,1961439.350166,1963661.60525,1788915271579,709,active,play,3,9,200,0,0,0,0,19,19,19,20,23,48,20,23,48
18,False,background,84435,327.3,1963662.2986660001,1965997.753958,1788915273961,716,background,play,0,0,200,0,0,0,0,20,20,20,20,23,48,20,23,48
18,False,home,84435,330.8,1982525.116375,1984507.539041,1788915292426,720,active,(tabs)/home,19,66,200,0,0,0,0,20,20,20,20,23,48,20,23,48
19,False,settled,84435,330.5,2017452.259791,2019684.6274579999,1788915327595,738,active,play,3,9,200,0,0,0,0,20,20,20,1,14,25,20,23,48
19,False,browsed,84435,331.1,2060655.142708,2062846.980458,1788915370777,742,active,play,3,9,200,0,0,0,0,20,20,20,20,23,48,20,23,48
19,False,background,84435,327,2062847.6543750002,2065405.54375,1788915373372,749,background,play,0,0,200,0,0,0,0,21,21,21,20,23,48,20,23,48
19,False,home,84435,330.7,2081515.7780000002,2083599.6944580001,1788915391543,753,active,(tabs)/home,19,66,200,0,0,0,0,21,21,21,20,23,48,20,23,48
20,False,settled,84435,330.6,2116432.607041,2118537.7990829996,1788915426479,771,active,play,3,9,200,0,0,0,0,21,21,21,1,14,25,20,23,48
20,False,browsed,84435,331.2,2159710.08475,2161706.031958,1788915469645,775,active,play,3,9,200,0,0,0,0,21,21,21,20,23,48,20,23,48
20,False,background,84435,327.1,2161706.753166,2164019.940416,1788915471982,782,background,play,0,0,200,0,0,0,0,22,22,22,20,23,48,20,23,48
20,False,home,84435,330.4,2180490.835833,2182571.753666,1788915490460,786,active,(tabs)/home,19,66,200,0,0,0,0,22,22,22,20,23,48,20,23,48
